origin,destination,weight,unsigned_weight
0,1,0.627919858,0.627919858
0,2,-0.589270908,0
0,3,0.518077193,0.518077193
0,4,0.639222938,0.639222938
0,5,0.56674102,0.56674102
0,6,0.53743639,0.53743639
1,0,0.711014631,0.711014631
1,2,-0.564816462,0
1,4,0.563844892,0.563844892
1,26,-0.577226534,0
2,3,-0.608384732,0
2,4,-0.795081074,0
2,17,-0.767955765,0
2,28,0.570678687,0.570678687
3,2,-0.567175572,0
3,4,0.579686452,0.579686452
3,17,0.707764959,0.707764959
3,28,-0.582675495,0
3,35,-0.500505715,0
4,1,0.562542283,0.562542283
4,2,-0.81103013,0
4,3,0.675321237,0.675321237
4,17,0.630131479,0.630131479
5,3,0.639933322,0.639933322
6,31,0.524076352,0.524076352
6,57,-0.632524718,0
6,60,-0.634020884,0
7,8,0.50593954,0.50593954
7,9,0.629464743,0.629464743
7,10,-0.858962924,0
7,11,0.540785847,0.540785847
7,12,-0.529128169,0
7,13,0.810253936,0.810253936
8,14,0.519534415,0.519534415
8,15,-0.720402994,0
9,14,0.546490012,0.546490012
9,25,-0.61081113,0
10,18,0.524338881,0.524338881
10,25,0.830168821,0.830168821
10,38,0.64136621,0.64136621
10,39,-0.503605901,0
11,25,-0.55216885,0
11,32,0.65526054,0.65526054
12,18,0.687748289,0.687748289
12,20,-0.596365123,0
12,25,0.567689478,0.567689478
12,53,0.533789845,0.533789845
12,54,-0.57792833,0
12,67,-0.718823589,0
13,19,0.563391109,0.563391109
13,20,0.503124881,0.503124881
13,25,-0.933197062,0
13,67,0.536225827,0.536225827
14,23,-0.50129455,0
14,27,0.581852137,0.581852137
15,14,0.519411655,0.519411655
15,55,-0.660803661,0
15,61,-0.703077713,0
15,62,-0.617528377,0
16,1,-0.514699541,0
16,17,0.563282518,0.563282518
17,2,-0.623562327,0
17,3,0.560785532,0.560785532
17,22,-0.556845878,0
17,28,-0.702224499,0
17,58,-0.616783256,0
18,3,-0.502277637,0
18,19,-0.533852428,0
18,20,-0.50644439,0
18,21,-0.548076406,0
18,22,0.538729759,0.538729759
19,15,0.595298849,0.595298849
20,8,0.5997173,0.5997173
20,10,-0.566210259,0
20,15,0.634461257,0.634461257
20,21,0.518226175,0.518226175
20,22,-0.874199685,0
21,37,-0.520577037,0
21,62,-0.579774145,0
22,8,0.528356308,0.528356308
22,17,-0.505698345,0
22,37,0.542025769,0.542025769
22,61,0.586728573,0.586728573
22,62,0.505769818,0.505769818
23,24,-0.595283073,0
24,43,0.630294449,0.630294449
25,8,-0.517584457,0
25,15,-0.903837487,0
25,22,0.618542489,0.618542489
26,1,-0.649973269,0
26,46,-0.552584668,0
26,53,0.53218079,0.53218079
26,64,-0.56358482,0
27,11,-0.514993473,0
28,2,0.517818742,0.517818742
28,3,-0.53154533,0
28,16,-0.680228902,0
28,17,-0.754601207,0
28,22,0.537583331,0.537583331
28,31,-0.541202397,0
28,49,0.520019785,0.520019785
28,58,0.639064707,0.639064707
28,60,0.697197503,0.697197503
29,30,0.503787281,0.503787281
29,31,0.532001769,0.532001769
31,1,-0.54438858,0
31,16,0.659489632,0.659489632
31,30,0.712890706,0.712890706
31,57,-0.682073707,0
31,58,-0.780898251,0
31,60,-0.6498944,0
32,33,-0.56972274,0
32,34,-0.520953825,0
33,9,0.503503521,0.503503521
33,23,0.681368309,0.681368309
33,41,-0.72113732,0
34,3,0.613500497,0.613500497
36,0,-0.610486498,0
36,37,-0.605716961,0
37,10,-0.505582817,0
37,27,0.671560989,0.671560989
37,29,0.552864503,0.552864503
37,45,-0.697771854,0
38,20,-0.528798618,0
39,25,0.586575102,0.586575102
39,28,-0.56935502,0
39,60,-0.56940629,0
40,7,0.656380733,0.656380733
41,3,0.563007696,0.563007696
41,24,0.670718402,0.670718402
41,42,0.502775905,0.502775905
41,43,-0.511845086,0
43,19,0.602903758,0.602903758
43,42,0.529401224,0.529401224
43,59,-0.546923318,0
44,45,-0.618911673,0
44,46,-0.51183572,0
45,38,0.575221083,0.575221083
45,66,0.547629828,0.547629828
46,39,0.674789919,0.674789919
46,61,0.621058917,0.621058917
47,33,-0.5061369,0
47,48,-0.576095835,0
48,9,0.673885553,0.673885553
48,23,0.671818454,0.671818454
48,27,-0.500723582,0
49,38,0.562034567,0.562034567
49,50,-0.546207681,0
50,39,-0.629147965,0
50,46,-0.602110502,0
50,59,0.502499683,0.502499683
51,3,-0.537122781,0
51,10,0.770301293,0.770301293
51,45,0.550677665,0.550677665
51,49,0.604909829,0.604909829
51,50,0.643925461,0.643925461
51,52,-0.698428679,0
52,46,0.547980483,0.547980483
53,49,0.638686748,0.638686748
53,50,0.505836228,0.505836228
53,52,-0.622937471,0
53,54,0.583254827,0.583254827
54,21,0.546516386,0.546516386
54,40,-0.588852825,0
54,50,-0.596478831,0
54,60,0.55357242,0.55357242
55,14,0.573424617,0.573424617
55,27,-0.525789612,0
55,37,0.686215468,0.686215468
55,56,0.543482959,0.543482959
56,27,0.852214286,0.852214286
56,29,0.760931265,0.760931265
56,45,-0.637699248,0
57,0,0.579895943,0.579895943
57,1,0.681806515,0.681806515
57,4,0.553194159,0.553194159
57,16,-0.545203872,0
57,30,-0.820549151,0
57,31,-0.798521452,0
57,58,0.689141656,0.689141656
58,0,0.725054156,0.725054156
58,1,0.713416684,0.713416684
58,16,-0.55796531,0
58,30,-0.520033227,0
58,31,-0.647906389,0
58,57,0.682475655,0.682475655
59,2,0.504286307,0.504286307
59,24,-0.58571895,0
60,16,-0.791574403,0
60,28,0.588418025,0.588418025
60,30,-0.539826435,0
60,31,-0.659307889,0
60,57,0.561709669,0.561709669
60,58,0.613635106,0.613635106
61,9,0.52077676,0.52077676
61,10,-0.623224935,0
61,13,0.608246913,0.608246913
61,37,0.560870437,0.560870437
62,0,0.609099863,0.609099863
62,5,0.525030243,0.525030243
62,37,0.533181789,0.533181789
62,56,0.598245553,0.598245553
63,53,-0.521037154,0
64,7,0.564673335,0.564673335
64,18,0.564367567,0.564367567
64,25,0.569394807,0.569394807
64,49,0.594958203,0.594958203
65,8,-0.545398356,0
67,10,-0.52463957,0
67,15,0.520478545,0.520478545
67,18,-0.674989796,0
67,22,-0.757264795,0
67,49,-0.586449618,0
68,18,-0.56256543,0
68,67,0.699037225,0.699037225
